1.78 74.91 72.37
1.86 79.84 80.36
1.67 70.71 68.73
1.50 49.96 45.77
1.68 71.52 63.32
1.62 60.00 57.11
1.85 95.68 91.72
1.79 77.07 69.87
1.78 77.72 73.56
1.81 86.37 86.90
1.83 87.76 87.35
1.71 71.03 71.19
1.73 69.10 66.71
1.81 78.05 75.99
1.72 69.88 65.06
1.64 63.50 59.14
1.79 86.72 83.18
1.80 82.85 78.89
1.87 83.12 81.09
1.75 77.24 73.99
1.68 64.45 63.34
1.81 88.43 84.71
1.79 72.51 67.99
1.83 90.29 90.21
1.76 75.25 73.40
1.60 62.65 61.47
1.80 80.27 77.98
2.03 106.39 103.98
1.73 78.95 74.76
1.85 92.63 91.13
1.81 75.19 74.29
1.74 74.92 73.48
1.70 67.50 64.53
1.61 61.39 57.26
1.79 78.06 75.77
1.67 71.75 68.54
1.60 61.85 60.25
1.63 60.63 60.47
1.94 91.44 87.36
1.70 67.21 66.55
1.86 81.87 76.15
1.82 87.96 84.75
1.86 94.84 90.93
1.73 72.02 69.05
1.65 64.15 56.40
1.79 84.92 81.70
1.92 92.38 89.68
1.65 68.40 66.00
1.80 88.86 84.30
1.63 58.04 52.00
1.83 93.96 88.41
1.76 78.96 76.56
1.62 69.85 67.72
1.74 70.07 68.93
1.79 81.23 80.12
1.75 81.47 76.50
1.68 68.97 67.08
1.85 95.02 93.92
1.68 63.84 60.59
1.84 83.99 80.27
1.82 82.88 79.93
1.73 76.78 75.38
1.89 91.82 91.90
1.79 82.62 77.08
1.77 84.18 83.42
1.80 79.96 75.61
1.69 72.11 67.96
1.58 64.81 63.20
1.80 84.29 80.77
1.66 74.14 72.79
1.80 78.20 74.20
1.83 81.28 79.52
1.78 81.25 75.40
1.72 66.91 61.33
1.59 53.29 52.43
1.60 54.04 47.21
1.92 85.22 83.31
1.80 75.35 74.66
1.75 75.18 69.48
1.62 64.29 61.27
1.69 68.67 66.95
1.74 74.28 70.21
1.87 84.16 83.55
1.87 85.85 80.69
1.76 72.38 68.73
1.81 77.53 73.25
1.60 60.02 51.56
1.70 71.37 68.93
1.75 71.98 68.01
1.60 50.14 50.77
1.72 76.08 73.27
1.88 87.87 83.84
1.79 69.45 70.41
1.87 93.02 88.22
1.73 76.80 73.74
1.68 66.70 62.82
1.77 77.09 73.39
1.84 82.68 81.60
1.77 79.88 74.00
1.75 78.21 76.06
